priority	mask	hex	multiplicity	witness_index	representative
248	82576	0x14290	20	2	2 -2 0 0 1 0 0 -1 -2 -1 2 0 0 -2 -1 0 -1
248	82576	0x14290	20	3	0 0 0 0 1 0 0 -1 0 -1 0 0 0 0 -1 0 -1
248	82576	0x14290	20	4	0 0 0 0 1 0 0 -1 0 1 0 0 0 0 -1 0 -1
249	72665	0x11bd9	21	1	1 0 0 1 3 -2 -5 1 -1 1 0 -3 -1 2 -2 0 -3
249	72665	0x11bd9	21	2	3 -2 0 -1 3 0 -1 -1 -3 -1 2 -1 1 -2 -2 0 -1
249	72665	0x11bd9	21	3	1 0 0 1 1 0 -1 -1 -1 -1 0 -1 1 0 0 0 -1
249	72665	0x11bd9	21	4	1 -2 0 -1 1 0 1 -1 -1 -1 0 1 1 0 0 0 -1
250	104533	0x19855	22	1	1 0 1 0 1 0 -1 0 0 0 0 -1 -1 0 -2 -1 -1
250	104533	0x19855	22	2	1 0 1 0 1 -2 -3 2 -2 0 -2 -1 1 2 0 -1 -1
250	104533	0x19855	22	3	1 0 -1 0 1 2 1 -2 0 0 2 1 -1 -2 0 1 1
250	104533	0x19855	22	4	3 -2 1 0 1 0 -1 0 -2 0 2 -1 -1 -2 -2 1 -1
251	34023	0x084e7	21	1	1 1 1 2 4 -5 -9 3 -2 2 -1 -6 -2 4 -4 -1 -4
251	34023	0x084e7	21	2	1 -1 1 0 0 -1 -1 1 -2 0 -1 0 0 0 0 1 0
251	34023	0x084e7	21	3	1 -1 -1 -2 0 3 3 -3 0 -2 3 2 0 -4 0 1 2
251	34023	0x084e7	21	4	3 -1 1 0 2 -1 -3 1 -2 0 1 -2 0 0 -2 -1 -2
252	85346	0x14d62	21	1	0 1 2 2 2 -3 -7 2 -1 2 -1 -5 -2 4 -3 0 -3
252	85346	0x14d62	21	2	0 1 0 0 0 -1 -1 0 1 0 -1 -1 0 2 -1 -2 -1
252	85346	0x14d62	21	3	2 -1 0 0 2 -3 -3 2 -1 0 -1 -3 0 2 -1 -2 -3
252	85346	0x14d62	21	4	2 -1 0 0 0 1 1 0 -1 0 1 1 0 -2 -1 0 -1
253	63597	0x0f86d	23	1	1 0 -1 -1 2 -1 -1 0 0 0 0 -1 1 1 -1 -1 -2
253	63597	0x0f86d	23	2	3 -2 1 -1 2 -1 -1 0 -2 -2 0 -1 1 -1 -1 -1 -2
253	63597	0x0f86d	23	3	1 0 1 1 2 -1 -3 0 -2 0 0 -1 1 1 -1 -1 -2
253	63597	0x0f86d	23	4	1 0 1 1 2 -3 -5 2 -2 2 0 -3 -1 3 -3 -1 -2
254	112330	0x1b6ca	20	1	0 1 0 1 2 0 -3 -1 0 1 1 -2 -1 1 -2 1 -1
254	112330	0x1b6ca	20	2	2 -1 0 -1 2 0 -1 -1 -2 -1 1 0 1 -1 -2 -1 -1
254	112330	0x1b6ca	20	3	2 -1 0 -1 0 0 1 -1 0 -1 1 0 1 -1 0 -1 -1
254	112330	0x1b6ca	20	4	0 1 0 1 0 -2 -3 3 0 1 -1 -2 -1 3 0 -1 -1
255	34294	0x085f6	21	1	0 1 1 2 3 -3 -7 1 -3 2 1 -4 -2 2 -4 1 -2
255	34294	0x085f6	21	2	2 1 3 2 3 -5 -9 3 -3 2 -1 -6 -2 4 -4 -1 -4
255	34294	0x085f6	21	3	0 1 1 2 3 -1 -5 1 -1 2 1 -4 -2 2 -2 1 -2
255	34294	0x085f6	21	4	2 -1 -1 -2 1 3 3 -3 -1 -2 3 2 0 -4 0 1 2
256	24224	0x05ea0	21	1	0 0 0 0 0 1 0 -1 0 1 1 1 -1 0 -1 0 0
256	24224	0x05ea0	21	2	0 0 0 0 0 3 2 -3 0 -1 3 1 -1 -4 -1 2 2
256	24224	0x05ea0	21	3	2 0 2 2 4 -5 -8 3 -4 1 -1 -5 -1 4 -3 -2 -4
256	24224	0x05ea0	21	4	2 0 2 2 4 -3 -8 1 -4 1 1 -5 -1 2 -3 0 -2
257	104816	0x19970	22	1	0 0 0 0 1 -1 -1 0 1 0 0 -1 -1 2 0 -1 -1
257	104816	0x19970	22	2	0 0 0 0 1 -3 -3 2 -1 0 -2 -1 1 2 0 -1 -1
257	104816	0x19970	22	3	2 0 2 2 3 -3 -7 2 -3 0 0 -5 -1 2 -2 -1 -3
257	104816	0x19970	22	4	0 0 2 2 1 -3 -5 2 -1 2 -2 -3 -1 4 -2 -1 -3
258	68296	0x10ac8	20	1	2 -2 0 -1 0 2 3 -1 0 -1 2 1 0 -2 0 0 -1
258	68296	0x10ac8	20	2	0 0 0 1 2 0 -1 -1 0 -1 0 -1 0 0 0 0 -1
258	68296	0x10ac8	20	3	0 2 0 1 2 -2 -5 1 0 1 0 -3 -2 2 -2 0 -1
258	68296	0x10ac8	20	4	0 2 2 3 4 -6 -11 3 -4 3 0 -7 -2 4 -4 0 -3
259	103263	0x1935f	20	1	1 -1 -1 -1 -1 2 3 -2 1 -1 2 2 -1 -2 0 1 1
259	103263	0x1935f	20	2	3 -1 1 1 3 -4 -5 2 -3 1 0 -4 -1 2 -2 -1 -3
259	103263	0x1935f	20	3	1 1 1 1 3 -2 -5 2 -1 1 0 -4 -1 2 -2 -1 -3
259	103263	0x1935f	20	4	1 -1 1 1 1 -2 -3 2 -1 1 0 -2 -1 2 -2 -1 -3
260	35046	0x088e6	20	1	0 1 1 2 2 -3 -5 1 -2 2 0 -3 -2 2 -2 1 -2
260	35046	0x088e6	20	2	0 1 1 2 2 -1 -5 1 0 2 0 -3 -2 2 -2 1 -2
260	35046	0x088e6	20	3	0 1 -1 0 0 1 1 -1 2 0 0 1 0 0 0 -1 0
260	35046	0x088e6	20	4	2 -1 1 0 2 -3 -3 1 -2 0 0 -3 0 0 -2 -1 -2
261	63149	0x0f6ad	20	1	1 -2 -1 -1 -2 3 6 -1 0 -1 1 4 1 -3 3 1 2
261	63149	0x0f6ad	20	2	1 0 1 1 4 -3 -6 1 -4 1 1 -4 -1 1 -3 1 -2
261	63149	0x0f6ad	20	3	1 0 1 1 2 -1 -4 1 -2 1 1 -2 -1 1 -3 1 -2
261	63149	0x0f6ad	20	4	1 -2 -1 -3 -2 3 6 -1 0 -1 1 4 1 -3 1 1 2
262	22923	0x0598b	19	1	1 -1 0 -1 0 2 2 -1 1 0 2 1 -1 -2 -1 0 0
262	22923	0x0598b	19	2	1 -1 0 -1 0 0 0 1 -1 0 0 1 1 0 1 0 0
262	22923	0x0598b	19	3	3 -1 2 1 2 -2 -4 1 -3 0 0 -3 -1 0 -3 0 -2
262	22923	0x0598b	19	4	1 1 2 3 4 -6 -10 3 -3 2 -2 -7 -1 6 -3 -2 -4
263	4585	0x011e9	19	1	1 0 0 1 2 -1 -3 1 -1 0 0 -2 -1 0 -2 0 -2
263	4585	0x011e9	19	2	1 0 0 1 2 -3 -5 1 -1 2 0 -2 -1 2 -2 0 -2
263	4585	0x011e9	19	3	1 0 0 1 2 -1 -3 1 -1 2 0 -2 -1 2 -2 0 -2
263	4585	0x011e9	19	4	1 0 0 -1 0 -1 -1 1 -1 0 0 0 1 0 0 0 0
264	107901	0x1a57d	18	1	1 0 1 1 1 -1 -3 0 -1 2 1 -2 -2 1 -2 1 -1
264	107901	0x1a57d	18	2	1 0 1 1 3 -3 -5 0 -3 0 1 -4 0 1 -2 -1 -1
264	107901	0x1a57d	18	3	1 0 1 1 1 -1 -3 0 -1 0 -1 -2 0 1 -2 -1 -1
264	107901	0x1a57d	18	4	1 0 -1 -1 1 -1 -1 0 -1 0 1 0 0 1 0 -1 -1
265	60007	0x0ea67	19	1	1 -1 1 0 2 1 -1 -2 -2 -1 2 -1 0 -1 -1 1 0
265	60007	0x0ea67	19	2	1 -1 -1 -2 0 1 3 -2 0 -1 0 3 2 -1 1 -1 0
265	60007	0x0ea67	19	3	1 -1 -1 0 0 1 1 0 0 1 2 1 -2 -1 -1 1 0
265	60007	0x0ea67	19	4	1 -1 1 0 0 1 1 0 -2 -1 0 1 0 -1 1 1 0
266	93673	0x16de9	19	1	1 0 0 1 2 1 -1 -1 -1 0 1 -1 0 -1 -1 0 -1
266	93673	0x16de9	19	2	1 0 0 -1 0 1 1 -1 1 0 1 1 0 -1 -1 0 -1
266	93673	0x16de9	19	3	1 -2 -2 -3 -2 3 7 -1 1 -2 1 5 2 -3 3 0 1
266	93673	0x16de9	19	4	1 0 0 1 2 -1 -3 1 -1 0 1 -3 -2 1 -1 0 -1
267	118133	0x1cd75	18	1	1 0 1 2 3 -1 -5 0 -3 0 1 -3 -2 0 -3 1 -1
267	118133	0x1cd75	18	2	1 0 -1 0 1 -1 -1 0 -1 0 1 -1 0 0 -1 -1 -1
267	118133	0x1cd75	18	3	1 0 1 0 1 -1 -1 0 -1 0 1 -1 0 0 -1 -1 -1
267	118133	0x1cd75	18	4	1 0 1 0 1 -1 -1 0 -1 0 -1 -1 0 0 -1 -1 -1
268	104025	0x19659	17	1	1 0 0 1 1 -2 -3 2 0 1 -1 -2 -1 2 -2 -1 -3
268	104025	0x19659	17	2	1 0 0 1 1 -2 -3 0 -2 1 1 -2 -1 0 -2 1 -1
268	104025	0x19659	17	3	1 0 0 1 3 0 -3 0 -2 1 1 -2 -1 0 -2 1 -1
268	104025	0x19659	17	4	1 0 0 -1 1 0 -1 0 0 1 1 0 -1 0 -2 1 -1
269	87304	0x15508	19	1	0 0 0 1 2 0 -2 0 -1 0 1 -2 -1 0 -1 0 -1
269	87304	0x15508	19	2	2 0 0 1 2 0 -2 0 -1 0 1 -2 -1 0 -1 0 -1
269	87304	0x15508	19	3	0 0 0 1 0 0 0 0 -1 0 -1 0 1 0 1 0 1
269	87304	0x15508	19	4	2 -2 0 -1 2 0 0 0 -1 0 1 0 -1 0 -1 0 -1
270	91811	0x166a3	18	1	1 1 0 0 2 -3 -4 1 0 1 -1 -2 0 3 -1 -2 -3
270	91811	0x166a3	18	2	1 -1 0 0 0 1 0 -1 0 -1 1 0 0 -1 -1 0 -1
270	91811	0x166a3	18	3	1 -1 0 0 2 1 0 -1 -2 -1 1 0 0 -1 -1 0 -1
270	91811	0x166a3	18	4	1 -1 0 0 2 1 0 -1 0 -1 1 0 0 -1 -1 0 -1
271	81847	0x13fb7	19	1	3 -1 1 0 3 -3 -4 1 -3 -1 -1 -3 1 1 -2 -2 -3
271	81847	0x13fb7	19	2	1 -1 -1 0 1 1 0 -1 -1 -1 1 1 1 -1 0 0 -1
271	81847	0x13fb7	19	3	1 -1 -1 -2 1 1 2 -1 1 -1 1 1 1 -1 0 0 -1
271	81847	0x13fb7	19	4	1 -1 1 0 1 1 0 -1 -1 -1 1 -1 1 -1 0 0 -1
272	39345	0x099b1	19	1	1 0 0 0 3 -3 -4 1 -1 0 0 -3 -1 2 -2 -1 -2
272	39345	0x099b1	19	2	1 0 0 0 1 -1 -2 1 1 2 0 -1 -1 2 -2 -1 -2
272	39345	0x099b1	19	3	1 0 0 0 1 1 0 -1 -1 0 2 -1 -1 -2 -2 1 0
272	39345	0x099b1	19	4	1 0 2 2 3 -5 -8 3 -3 2 -2 -5 -1 4 -4 -1 -4
273	94699	0x171eb	19	1	1 -1 -2 -3 0 3 5 -3 1 -2 2 4 1 -3 1 0 1
273	94699	0x171eb	19	2	3 -3 0 -1 2 1 1 -1 -3 -2 2 0 1 -3 -1 0 -1
273	94699	0x171eb	19	3	1 -1 0 -1 -2 1 3 1 1 0 0 2 -1 -1 1 0 1
273	94699	0x171eb	19	4	1 -3 -2 -3 -2 5 9 -3 1 -2 2 6 1 -5 3 2 3
274	94370	0x170a2	19	1	2 -1 2 2 4 -3 -6 1 -4 0 0 -4 -1 1 -3 0 -3
274	94370	0x170a2	19	2	0 1 2 2 2 -3 -6 1 -2 2 0 -4 -1 3 -3 0 -3
274	94370	0x170a2	19	3	0 1 0 0 2 -3 -4 1 0 0 -2 -2 1 3 -1 -2 -3
274	94370	0x170a2	19	4	0 1 0 0 0 1 0 -1 0 0 2 0 -1 -1 -1 0 1
275	122980	0x1e064	19	1	0 2 1 2 4 -5 -9 2 -2 2 0 -6 -2 5 -3 -1 -3
275	122980	0x1e064	19	2	0 0 1 0 0 1 1 0 0 0 0 0 0 -1 1 1 1
275	122980	0x1e064	19	3	0 0 1 0 0 -1 -1 0 0 0 0 -2 0 1 -1 -1 -1
275	122980	0x1e064	19	4	2 0 1 0 2 -1 -3 0 -2 0 0 -2 0 1 -1 -1 -1
276	124248	0x1e558	19	1	0 2 2 3 3 -4 -9 2 -1 2 -1 -6 -2 5 -3 -1 -3
276	124248	0x1e558	19	2	2 -2 0 -1 1 0 1 0 -1 0 1 0 0 -1 -1 -1 -1
276	124248	0x1e558	19	3	0 0 0 1 1 -2 -3 0 -1 0 1 -2 0 1 -1 -1 -1
276	124248	0x1e558	19	4	0 0 0 1 -1 0 1 0 -1 0 1 0 0 -1 1 1 1
277	84545	0x14a41	17	1	1 0 2 2 2 -2 -5 2 -2 1 0 -3 -2 2 -3 0 -3
277	84545	0x14a41	17	2	1 0 0 0 2 0 -1 -2 -2 -1 2 -1 0 -2 -1 0 1
277	84545	0x14a41	17	3	3 -2 0 0 2 0 -1 0 -2 -1 2 -1 0 -2 -1 0 -1
277	84545	0x14a41	17	4	1 0 0 0 2 -4 -5 2 0 1 -2 -3 0 4 -1 -2 -3
278	111482	0x1b37a	19	1	0 1 0 1 1 -1 -3 0 1 1 0 -2 -1 1 -2 -1 -1
278	111482	0x1b37a	19	2	0 1 0 1 3 -3 -5 2 -1 1 0 -4 -1 3 -2 -1 -3
278	111482	0x1b37a	19	3	2 -1 0 1 3 -1 -3 0 -3 1 2 -2 -1 -1 -2 1 -1
278	111482	0x1b37a	19	4	0 1 0 1 1 -1 -3 0 -1 1 0 -2 -1 1 -2 1 -1
279	125908	0x1ebd4	19	1	2 -2 -1 -2 1 4 5 -3 -1 -3 2 3 2 -5 1 1 1
279	125908	0x1ebd4	19	2	2 0 1 2 3 -4 -7 3 -3 1 0 -5 -2 3 -3 -1 -3
279	125908	0x1ebd4	19	3	0 2 1 2 3 -6 -9 3 -1 3 -2 -5 -2 5 -3 -1 -3
279	125908	0x1ebd4	19	4	0 0 1 2 1 -2 -3 1 -1 1 0 -3 -2 1 -1 1 -1
280	39401	0x099e9	19	1	1 0 0 1 2 -3 -5 1 -1 0 0 -3 -1 2 -2 -1 -2
280	39401	0x099e9	19	2	1 0 0 1 2 1 -1 -1 -1 0 2 -1 -1 -2 -2 1 0
280	39401	0x099e9	19	3	1 -2 0 -1 -2 3 5 -1 -1 -2 2 3 1 -4 2 1 2
280	39401	0x099e9	19	4	1 0 2 1 2 -3 -5 1 -3 0 0 -3 -1 2 -2 -1 -2
281	27590	0x06bc6	18	1	0 1 1 2 2 -2 -5 1 -1 1 0 -3 -2 1 -3 0 -2
281	27590	0x06bc6	18	2	0 1 1 2 2 -2 -5 1 -1 3 0 -3 -2 3 -3 0 -2
281	27590	0x06bc6	18	3	0 1 1 2 2 -2 -5 1 -1 1 0 -3 -2 3 -1 0 -2
281	27590	0x06bc6	18	4	2 -1 1 0 2 -2 -3 1 -1 -1 0 -3 0 1 -1 -2 -2
282	22383	0x0576f	19	1	1 -1 1 1 2 -1 -3 0 -1 1 1 -2 -1 0 -3 0 -2
282	22383	0x0576f	19	2	1 1 1 1 4 -3 -7 0 -3 1 1 -4 -1 2 -3 0 -2
282	22383	0x0576f	19	3	1 -1 -1 -1 0 1 3 -2 1 -1 1 2 1 -2 1 0 0
282	22383	0x0576f	19	4	1 -1 -1 -1 0 3 3 -2 1 -1 1 2 1 -2 1 0 0
283	92811	0x16a8b	18	1	1 -1 0 1 2 0 -2 -1 -2 -1 2 -1 0 -1 -1 0 -1
283	92811	0x16a8b	18	2	1 -1 0 -1 -2 0 2 1 0 -1 0 1 0 -1 1 0 1
283	92811	0x16a8b	18	3	1 -1 2 1 2 -2 -4 1 -2 1 0 -3 0 1 -3 0 -3
283	92811	0x16a8b	18	4	1 -1 0 -1 -2 2 4 -1 0 -1 0 3 2 -3 1 0 1
284	77903	0x1304f	19	1	1 1 1 1 2 -2 -5 0 -2 0 0 -2 -1 1 -2 0 -1
284	77903	0x1304f	19	2	1 -1 1 1 2 -2 -3 0 -2 0 0 -2 -1 1 -2 0 -1
284	77903	0x1304f	19	3	1 -1 -1 -1 -2 0 3 0 0 0 0 2 1 -1 2 0 1
284	77903	0x1304f	19	4	1 1 3 3 4 -4 -9 2 -4 2 0 -6 -1 3 -4 0 -3
285	25028	0x061c4	19	1	0 2 1 2 2 -4 -7 1 -1 2 0 -4 -2 3 -3 0 -2
285	25028	0x061c4	19	2	0 0 1 0 -2 0 1 1 1 0 -2 0 0 1 1 0 0
285	25028	0x061c4	19	3	0 0 1 0 0 0 -1 1 -1 0 0 0 0 1 1 0 0
285	25028	0x061c4	19	4	2 0 1 0 2 -2 -3 1 -1 0 0 -2 0 1 -1 -2 -2
286	32442	0x07eba	18	1	0 1 0 1 1 -1 -2 -1 0 1 1 -1 -1 1 -1 0 0
286	32442	0x07eba	18	2	2 -1 2 1 3 -3 -6 1 -4 1 1 -3 -1 1 -3 0 -2
286	32442	0x07eba	18	3	0 1 2 3 3 -3 -8 1 -2 1 -1 -5 -1 3 -3 0 -2
286	32442	0x07eba	18	4	2 -1 0 1 1 -1 -2 1 -2 1 1 -1 -1 1 -1 0 -2
287	63700	0x0f8d4	7	1	2 0 1 0 3 -2 -5 1 -2 0 0 -3 -1 1 -3 -1 -2
287	63700	0x0f8d4	7	2	0 2 1 2 3 -4 -7 1 -2 2 0 -5 -1 3 -3 -1 -2
287	63700	0x0f8d4	7	3	0 0 1 0 -1 0 1 1 0 0 -2 1 1 1 1 -1 0
287	63700	0x0f8d4	7	4	0 0 1 0 -1 -2 -1 1 0 0 -2 -1 1 1 1 -1 0
288	7239	0x01c47	10	1	1 -1 -1 -2 0 2 3 -2 0 -2 1 3 1 -2 0 0 0
288	7239	0x01c47	10	2	1 -3 -1 -2 -2 4 7 -2 0 -2 1 5 1 -4 2 2 2
288	7239	0x01c47	10	3	1 -1 -1 -2 0 0 1 0 0 0 1 1 -1 0 0 0 0
288	7239	0x01c47	10	4	1 -1 -1 0 0 0 1 0 0 0 1 1 -1 0 0 0 0
