atlas	direction	subgroup_rank	height	coordinate	cheap_representatives	contained	base_orbit	parity	extension_bits	quartic_bits	old_policy_parity_selected	old_policy_exact_centre_selected
earliest_support	residual-strict-07	24	16705612	2464361/16705612	0	False	"{""M_over_2M_orbit_mask_in_degree_two_LLL_coordinates"": 128766, ""category"": ""rational_bisection"", ""minimum_distance_in_generic_reduced_metric"": ""<bound method Rational.numerator of 5/2>/<bound method Rational.denominator of 5/2>"", ""minimum_generic_MW17_norm"": 10}"	83780	0	120	False	False
earliest_support	recovered-local-01	25	1	-1/0	41	True	"{""M_over_2M_orbit_mask_in_degree_two_LLL_coordinates"": 115350, ""category"": ""rational_bisection"", ""minimum_distance_in_generic_reduced_metric"": ""<bound method Rational.numerator of 5/2>/<bound method Rational.denominator of 5/2>"", ""minimum_generic_MW17_norm"": 10}"	94938	0	132		
earliest_support	recovered-local-02	25	1	-1/0	42	True	"{""M_over_2M_orbit_mask_in_degree_two_LLL_coordinates"": 89501, ""category"": ""rational_bisection"", ""minimum_distance_in_generic_reduced_metric"": ""<bound method Rational.numerator of 5/2>/<bound method Rational.denominator of 5/2>"", ""minimum_generic_MW17_norm"": 10}"	101481	0	128		
earliest_support	recovered-local-03	25	64462	-64462/793	2	True	"{""M_over_2M_orbit_mask_in_degree_two_LLL_coordinates"": 52488, ""category"": ""genus_one_bisection_lattice_candidate"", ""minimum_distance_in_generic_reduced_metric"": ""<bound method Rational.numerator of 2>/<bound method Rational.denominator of 2>"", ""minimum_generic_MW17_norm"": 8}"	6446	0	127		
earliest_support	recovered-local-04	25	43	43/1	13	True	"{""M_over_2M_orbit_mask_in_degree_two_LLL_coordinates"": 109599, ""category"": ""genus_one_bisection_lattice_candidate"", ""minimum_distance_in_generic_reduced_metric"": ""<bound method Rational.numerator of 2>/<bound method Rational.denominator of 2>"", ""minimum_generic_MW17_norm"": 8}"	115603	0	125		
earliest_support	recovered-strict-01	25	2860628006	-724844035/2860628006	0	True	"{""M_over_2M_orbit_mask_in_degree_two_LLL_coordinates"": 121963, ""category"": ""rational_bisection"", ""minimum_distance_in_generic_reduced_metric"": ""<bound method Rational.numerator of 5/2>/<bound method Rational.denominator of 5/2>"", ""minimum_generic_MW17_norm"": 10}"	78696	0	120		
earliest_support	recovered-strict-02	25	2527566701474522222791	-2087508837821142559760/2527566701474522222791	0	True	"{""M_over_2M_orbit_mask_in_degree_two_LLL_coordinates"": 26875, ""category"": ""rational_bisection"", ""minimum_distance_in_generic_reduced_metric"": ""<bound method Rational.numerator of 5/2>/<bound method Rational.denominator of 5/2>"", ""minimum_generic_MW17_norm"": 10}"	45926	0	120		
earliest_support	recovered-strict-03	25	19511640163442554446799	19511640163442554446799/768449189418004108000	0	True	"{""M_over_2M_orbit_mask_in_degree_two_LLL_coordinates"": 63309, ""category"": ""rational_bisection"", ""minimum_distance_in_generic_reduced_metric"": ""<bound method Rational.numerator of 5/2>/<bound method Rational.denominator of 5/2>"", ""minimum_generic_MW17_norm"": 10}"	10873	0	124		
earliest_support	residual-strict-01	25	2108115427	415748264/2108115427	0	False	"{""M_over_2M_orbit_mask_in_degree_two_LLL_coordinates"": 10709, ""category"": ""rational_bisection"", ""minimum_distance_in_generic_reduced_metric"": ""<bound method Rational.numerator of 5/2>/<bound method Rational.denominator of 5/2>"", ""minimum_generic_MW17_norm"": 10}"	5649	0	120		
earliest_support	residual-strict-02	25	729881574	-729881574/13920691	0	False	"{""M_over_2M_orbit_mask_in_degree_two_LLL_coordinates"": 61789, ""category"": ""rational_bisection"", ""minimum_distance_in_generic_reduced_metric"": ""<bound method Rational.numerator of 5/2>/<bound method Rational.denominator of 5/2>"", ""minimum_generic_MW17_norm"": 10}"	10436	0	120		
